,Open,High,Low,Close
,28858.42,28906.71,28622.44,28885.21
,28889.27,28907.81,28756.75,28879.38
,28955.13,29072.51,28843.94,29044.44
,29087.25,29094.61,28721.63,28799.69
,28876.23,28876.23,28497.7,28666.04
,28682.97,28696.19,28403.76,28442.1
,28525.65,28539.46,27802.37,27886.21
,27860.51,27976.93,27598.21,27676.04
,27756.68,27947.26,27385.48,27890.13
,27977.27,28087.78,27621.18,27735.02
,27804.58,27829.11,27344.7,27437.94
,27565.49,27567.28,27141.55,27176.99
,27215.61,27482.14,27073.25,27396.38
,27395.71,27438.96,27176.54,27225.93
,27242.05,27242.05,26897.54,27011.31
,27204.63,27537.85,27159.45,27490.59
,27561.32,27603.71,27338.23,27440.14
,27473.36,27501.15,26677.64,26717.37
,26721.34,26850.37,26423.99,26599.11
,26814.38,27196.28,26814.38,27105.39
,27249.42,27544.24,27231.28,27507.3
,27502.91,27502.91,26837.39,26877.48
,27023.71,27299.8,26750.01,27251.1
,27290.17,27293.99,26948.62,27206.06
,27233.9,27379.57,27159.76,27324
,27416.97,27725.97,27370.28,27687.3
,27663.08,27872.23,27574.07,27645.53
,27749.3,27903.01,27743.99,27837.21
,27885.36,27911.44,27712.73,27809.35
,27849.54,28071.16,27828.61,27957.5
,27893.25,27903.29,27614.32,27643.88
,27633.66,27675.94,27473.54,27531.41
,27447.4,27595.8,27363.72,27564.66
,27619.31,27666.37,27354.35,27506.71
,27553.03,27888.32,27467.23,27828.44
,27770.79,27959.43,27737.58,27848.99
,27890.73,27902.53,27146.68,27188.38
,27230.68,27276.22,26698.26,26837.2
,26940.64,26948.84,26551.97,26813.42
,26819.82,27014.42,26718.44,26768.49
,26814.31,26827.06,26472.87,26523.09
,26510.29,26604.65,26438.32,26481.25
,26517.32,26934.74,26493.29,26840.5
,26959.98,27000.14,26348.93,26370.98
,26340.32,26489.58,26307.07,26425.3
,26498.67,26728.6,26307.84,26586.55
,26586.86,26731.35,26379.93,26686.51
,26815.41,26983.48,26728.89,26832.66
,26916.99,27175.39,26910.26,27115.83
,27207.76,27404.6,27202.38,27316.17
,27427.19,27782.31,27417.03,27730.21
,27760.11,27882.66,27666.59,27804.37
,27852.32,27948.24,27647.29,27729.67
,27660.22,27968.75,27635.76,27895.97
,27880.72,27921.86,27675.16,27811.84
,27451.07,27695.32,27209.19,27645.15
,27627.39,27814.53,27570.95,27780.83
,27823.65,28099.25,27799.91,28020.87
,28100.38,28115.96,27906.35,27945.8
,27973.12,28135.43,27897.45,28092.79
,27857.2,28235.31,27774.8,28208.76
,28220.11,28335.23,28084.36,28171.69
,28031.45,28031.45,27635.72,27687.72
,27681.49,27798.13,27540.6,27573.66
,27705.36,27729.46,27530.9,27661.4
,27739.32,28005.17,27635.06,27961.19
,27986.92,28018.59,27853.96,27932.9
,28022.14,28218.37,27986.48,28198.29
,28259.7,28478.43,28245.81,28446.12
,28480.92,28576.32,28417.46,28463.31
,28544.28,28549.13,28319.83,28420.12
,28381.82,28518.06,28138.3,28182.14
,28159.42,28546.42,28070.91,28504.93
,28540.97,28578.33,28315.37,28370.84
,28390.5,28402.64,28083.76,28112.31
,28117.65,28117.65,27529.57,27561.38
,27630.21,27676.65,27416.39,27459.23
,27540.46,27609.29,27470.09,27563.43
,27685.82,27854.46,27649.97,27705.35
,27814.51,28161.17,27814.51,28114.56
,28089.09,28263.35,28071.37,28187.06
,28225.04,28264.72,27866.12,28071.93
,28138.04,28315.71,28135.68,28223.08
,28291.88,28359.96,28163.69,28298.13
,28327.11,28335.67,28193.93,28236.39
,28250.78,28417.59,28017.85,28101.72
,28193.26,28205.12,27825.83,27866.09
,27880.76,27883.33,27479.43,27512.26
,27635.25,27791.1,27496.29,27549.53
,27668.06,28100.64,27643.2,28067.31
,28093.54,28095.97,27739.13,27878.27
,27949.13,28040.73,27747.4,27831.54
,27851.81,28021.39,27721.25,27931.64
,27959.19,27964.6,27564.16,27607.82
,27440.1,27442.82,27131.44,27366.07
,26730.4,26730.4,25624.72,25741.56
,25916.26,26124.83,25298.42,26032.38
,26063.27,26156.61,25657.56,25714.66
,26137.03,26302.77,25943.75,26231.19
,26542.84,26687.33,26270.17,26392.38
,26469.42,26504.73,26215.16,26283.09
,26127.04,26141.07,25579.88,25696.44
,25891.95,25939.37,25395.09,25453.56
,25614.69,25835.41,25555.77,25764.78
,25772.58,25775.38,25119.06,25201.9
,25302.98,25387.32,24851.77,24893.81
,24972.01,25411,24833.54,25317.87
,25682.87,25820.56,25553.61,25719.58
,25522.96,25733.7,25287.5,25622.17
,25793.77,25875.96,25530.41,25610.21
,25706.87,25891.73,25531.07,25856.7
,25908.34,25909.83,25649.37,25705.93
,25884.05,26006.75,25816.5,25963.97
,26130.36,26471.82,26130.36,26218.91
,26107.98,26233.46,25972.54,26192.98
,26274.37,26339.1,25571.34,25651.84
,25526.53,25934.02,25386.48,25822.99
,25798.05,25949.9,25670.96,25863.5
,25922.71,25936.89,25593.56,25616.84
,25496.38,26054.37,25287.33,25778.66
,25986.52,26179.7,25918.21,26154.83
,26344.19,26431.8,26168.71,26220.95
,26379.42,26822.42,26375.31,26785.55
,26976.66,27010.27,26751.25,26932.88
,26966.86,27082.28,26877.51,27035.85
,27116.86,27120.11,26762.36,26845.81
,26974.92,27200.44,26910.59,27079.51
,27242.6,27305.04,26855.75,26904.11
,26874.29,26918.52,26719.1,26846.53
,26760.32,26869.08,26713.28,26779.66
,26842.19,27037.95,26836.77,27010.14
,27062.8,27239.22,26917.12,27214.6
,27305.62,27387.91,27246.79,27364.92
,27402.9,27432.07,27216.4,27306.83
,27312.35,27445.24,27190.55,27287.66
,27466.64,27555.06,27421.71,27470.81
,27575.04,27618.14,27318.2,27361.96
,27291.06,27296.3,27209.52,27253.44
,27131.71,27163.98,26919.96,27039.76
,27083.7,27099.11,26794.1,26838.14
,26878.48,26942.29,26585.2,26656.83
,26641.69,26824.3,26378.26,26559.15
,26660.71,26732.24,26514.48,26590.59
,26704.02,26800.06,26510.31,26552.92
,26557.8,26557.8,26243.2,26304.2
,26284.01,26438.86,26190.18,26265.24
,25809,26193.17,25656.9,26121.4
,26094.09,26094.09,25709.23,25743.26
,25934.9,25944.93,25853.42,25866.95
,25724.09,25724.09,25540.73,25610.53
,25580.15,25866.42,25451.42,25760.1
,25897.88,25948.2,25732.79,25864.47
,25837.71,25890.36,25453.32,25482.52
,25640.34,25884.52,25603.1,25841.92
,25856.13,26058.76,25769.81,25868.49
,25945.14,25958.04,25747.01,25819.34
,25785.61,25901.56,25703.86,25775.74
,25769.81,26016.04,25769.81,25958.63
,26003.2,26184.65,25937.32,26128.2
,26142.53,26231.06,26089.13,26145.67
,26201.27,26246.02,26121.52,26169.41
,26239.39,26256.42,26041.68,26117.85
,26123.86,26123.86,25857.35,25886.62
,25810.06,25810.06,25623.71,25638.11
